9787544246279,201004,老舍集-骆驼祥子,25,老舍,小说,南海出版公司,42167,308904,16.20,16.20,16.20,16.50,None,None,18.80,16.30,20.00,
9787544258975,201208,霍乱时期的爱情,39.5,加西亚·马尔克斯,小说,南海出版公司,42346,302174,28.70,29.60,29.60,26.10,None,None,29.60,29.60,None,
9787544270878,201404,东野圭吾作品-解忧杂货店,39.5,东野圭吾,小说,南海出版公司,188905,298427,25.24,27.10,27.10,26.10,None,28.44,27.30,25.70,None,
9787532751655,201008,不能承受的生命之轻(百万纪念版),29,米兰·昆德拉,小说,上海译文出版社,5815,297196,20.70,23.20,22.10,24.50,None,None,24.20,26.30,26.10,
9787807408031,201112,盗墓笔记(8)(下),32.8,南派三叔,小说,上海文化出版社,55141,295152,19.40,21.90,21.80,18.00,None,None,22.60,20.00,23.29,
9787500601593,200508,红岩,26,"罗广斌,杨益言",小说,中国青年出版社,78170,294275,19.50,11.00,19.50,17.20,None,None,18.70,7.00,20.80,
9787530212233,201206,穆斯林的葬礼(精),39.8,霍达,小说,北京十月文艺出版社,73083,293467,25.80,27.50,27.50,26.30,None,28.60,28.30,28.30,None,
9787807089353,201004,龙族Ⅰ:火之晨曦,24.8,江南,小说,长江出版社,34154,290280,15.10,16.80,None,15.10,None,16.61,17.10,16.10,19.34,
9787550213524,201308,一个人的朝圣,32.8,蕾秋·乔伊斯,小说,北京联合出版有限责任公司,70774,290217,18.40,18.70,18.70,18.00,None,None,22.60,20.00,None,
9787531325093,200311,梦里花落知多少,20,郭敬明,小说,春风文艺出版社,2388,282868,None,15.00,None,None,None,None,None,None,None,
9787807408017,201112,盗墓笔记(8)(上),32.8,南派三叔,小说,上海文化出版社,54252,282656,19.40,22.50,21.90,18.00,None,None,22.60,16.10,25.58,
9787550205321,201205,于丹:重温最美古诗词,38,于丹,文学理论及研究,北京联合出版有限责任公司,21711,281391,22.80,25.20,25.20,27.40,None,None,26.20,24.70,32.68,
9787540468798,201409,"乖,摸摸头",36,大冰,散杂文,湖南文艺出版社,150890,280476,23.40,24.80,23.40,23.00,None,23.70,23.40,21.60,None,
9787802491823,200907,货币战争(2)-金权天下,39,宋鸿兵,金融,中华工商联合出版社有限责任公司,7622,280453,None,23.00,None,None,None,None,None,None,None,
9787807407270,201110,盗墓笔记(1)(再版),32.8,南派三叔,小说,上海文化出版社,65563,279702,19.70,19.70,19.70,18.00,None,None,22.60,20.00,23.29,
9787543641891,200705,新编家常菜谱,19.9,爱心家肴美食文化工作室,中餐,青岛出版社,982,275163,12.70,14.60,15.20,None,None,None,14.90,None,None,
9787530209981,200904,张爱玲全集-小团圆,28,张爱玲,小说,北京十月文艺出版社,320,274328,21.30,21.00,None,None,None,None,None,None,25.20,
9787020065639,200805,丑陋的中国人,28,柏杨,散杂文,人民文学出版社,8701,273078,None,22.10,22.10,None,None,None,None,18.20,25.20,
9787020098095,201306,围城,28,钱钟书,小说,人民文学出版社,74322,269932,18.90,18.90,18.90,19.30,None,20.70,19.60,18.20,None,
9787020002207,199807,中国古典文学读本丛书-红楼梦(上下),59.7,曹雪芹,中国古典文学,人民文学出版社,29065,267263,37.80,39.50,39.50,41.20,None,None,41.20,38.80,59.70,
9787108033635,200912,孩子你慢慢来,28,龙应台,散杂文,生活.读书.新知三联书店,28629,267233,28.00,24.20,None,None,None,None,None,18.20,24.08,
9787532725694,200103,挪威的森林,18.8,村上春树,小说,上海译文出版社,74,264723, 16.60
,None,None,None,None,None,None,None,None,
9787020078127,200912,失落的秘符,38,丹·布朗,小说,人民文学出版社,361,264084,None,None,None,None,None,None,None,18.60,29.64,
9787540450274,201107,春宴,39,安妮宝贝,小说,湖南文艺出版社,3736,263689,24.20,27.00,27.00,None,None,None,24.10,25.40,31.20,
9787542612892,199911,中国股市操作强化训练第一书-股市操练大全(第1册),29.8,黎航,个人理财,上海三联书店,14466,263681,25.30,25.80,25.30,None,None,None,20.90,19.40,None,
9787513312103,201306,第七天(精),29.5,余华,小说,新星出版社有限责任公司,19214,262170,18.30,22.10,20.40,19.50,None,None,20.90,16.20,None,
9787501763993,200405,炒股就这几招(绝招篇)(附光盘),25,李幛喆,个人理财,中国经济出版社,63,262064,20.00,21.00,23.50,None,None,None,None,16.30,None,
9787535457844,201204,虚实之间,32,芮成钢,散杂文,长江文艺出版社有限公司,3639,261872,19.90,21.20,21.20,19.50,None,None,22.40,15.70,24.96,
9787020008728,199807,中国古典文学读本丛书-三国演义(全二册),39.5,罗贯中,中国古典文学,人民文学出版社,30355,261576,24.20,27.10,27.10,27.30,None,None,27.30,29.20,33.18,
9787549204304,201105,龙族Ⅱ:悼亡者之瞳,29.8,江南,小说,长江出版社,31457,261439,19.40,23.50,22.40,19.10,None,None,20.60,19.40,23.24,
9787506344791,200812,俗世奇人(修订版),18,冯骥才,小说,作家出版社,61610,260960,10.30,12.10,10.30,12.40,None,None,12.40,8.80,15.12,
9787532146352,201210,蛙,35,莫言,小说,上海文艺出版社,8190,260292,24.00,25.40,25.40,24.20,None,26.20,25.60,22.80,None,
